Date,Price
2022-09-07,30000.0
2022-09-08,30000.0
2022-09-09,32000.0
2022-09-12,30000.0
2022-09-13,30000.0
2022-09-14,30000.0
2022-09-15,30000.0
2022-09-16,30000.0
2022-09-19,30000.0
2022-09-20,30000.0
2022-09-21,30000.0
2022-09-22,30000.0
2022-09-23,30000.0
2022-09-26,30000.0
2022-09-27,30000.0
2022-09-28,30000.0
2022-09-29,30000.0
2022-09-30,30000.0
